Date,ProductID,Category,WarehouseID,Region,SupplierID,Country,Risk_Score,Units_Received,Units_Sold,Inventory_On_Hand,Lead_Time_Days,Delivery_Status,Unit_Cost,Revenue_per_Unit,Inventory_Value,Revenue
2024-01-01,P001,Electronics,W01,North,S01,USA,7,45,46,113,10,On-Time,1255.3872492908756,1803.6385036536828,141858.75916986895,82967.37116806941
2024-01-01,P001,Electronics,W02,South,S01,USA,7,46,54,0,13,On-Time,1716.2022342870282,2061.2017329286223,0.0,111304.89357814561
2024-01-01,P001,Electronics,W03,East,S01,USA,7,54,49,89,14,On-Time,1814.6056978777444,2112.390485566947,161499.90711111925,103507.13379278041
2024-01-01,P001,Electronics,W04,West,S01,USA,7,45,43,84,2,On-Time,663.0150507556096,968.6783542776463,55693.26426347121,41653.169233938796
2024-01-01,P001,Electronics,W05,Central,S01,USA,7,47,48,6,5,On-Time,1020.6326416951113,1159.4867755400776,6123.795850170667,55655.36522592373
2024-01-01,P002,Apparel,W01,North,S02,China,4,48,42,69,9,Delayed,397.20019270861303,481.7032297276099,27406.8132968943,20231.535648559617
2024-01-01,P002,Apparel,W02,South,S02,China,4,53,49,98,2,Delayed,1892.0053847468787,2445.2054779250857,185416.5277051941,119815.0684183292
2024-01-01,P002,Apparel,W03,East,S02,China,4,51,39,51,11,On-Time,1486.7134427443957,1655.8126183642187,75822.38557996418,64576.692116204526
2024-01-01,P002,Apparel,W04,West,S02,China,4,55,46,97,4,Delayed,1660.142600141324,1907.4189982517364,161033.83221370843,87741.27391957988
2024-01-01,P002,Apparel,W05,Central,S02,China,4,46,51,100,5,On-Time,1556.839295661802,2233.8076570405306,155683.9295661802,113924.19050906706
2024-01-01,P003,Food,W01,North,S03,Germany,1,42,52,137,6,On-Time,631.2896639014921,734.4266748061121,86486.68395450442,38190.18708991783
2024-01-01,P003,Food,W02,South,S03,Germany,1,58,35,117,14,On-Time,1485.236708134606,1709.1732491756022,173772.6948517489,59821.06372114608
2024-01-01,P003,Food,W03,East,S03,Germany,1,58,44,81,5,On-Time,356.5345341770743,523.6556270200074,28879.29726834302,23040.847588880326
2024-01-01,P003,Food,W04,West,S03,Germany,1,41,49,92,7,On-Time,1456.1080256014773,2005.5750810628924,133961.9383553359,98273.17897208173
2024-01-01,P003,Food,W05,Central,S03,Germany,1,51,55,139,11,On-Time,1385.826842165032,1830.7342857446345,192629.93106093945,100690.3857159549
2024-01-01,P004,Electronics,W01,North,S01,USA,7,53,47,64,14,On-Time,669.3184067306129,776.6607393704106,42836.378030759224,36503.0547504093
2024-01-01,P004,Electronics,W02,South,S01,USA,7,47,45,97,2,Delayed,822.6849587507704,920.8316797690816,79800.44099882474,41437.42558960867
2024-01-01,P004,Electronics,W03,East,S01,USA,7,63,41,48,3,On-Time,697.1898985957554,820.0725220044086,33465.11513259626,33622.97340218075
2024-01-01,P004,Electronics,W04,West,S01,USA,7,63,45,13,14,On-Time,1268.500450015781,1669.2903380090927,16490.505850205154,75118.06521040917
2024-01-01,P004,Electronics,W05,Central,S01,USA,7,49,46,80,3,On-Time,606.5214303163323,851.7601313590401,48521.71442530658,39180.96604251584
2024-01-01,P005,Home Goods,W01,North,S04,Japan,7,47,34,40,4,Delayed,393.4897734943454,581.9834802795137,15739.590939773816,19787.438329503468
2024-01-01,P005,Home Goods,W02,South,S04,Japan,7,44,56,40,10,On-Time,1357.0182851269135,1730.7164273453484,54280.73140507654,96920.1199313395
2024-01-01,P005,Home Goods,W03,East,S04,Japan,7,56,52,46,9,On-Time,608.1627480798056,781.565218871832,27975.48641167106,40641.39138133526
2024-01-01,P005,Home Goods,W04,West,S04,Japan,7,57,44,150,14,On-Time,281.0687488265645,354.43663165371686,42160.312323984675,15595.21179276354
2024-01-01,P005,Home Goods,W05,Central,S04,Japan,7,59,42,34,9,On-Time,456.98521068262943,685.0452686776994,15537.4971632094,28771.901284463373
2024-01-01,P006,Apparel,W01,North,S02,China,4,52,49,67,11,On-Time,639.0472598904657,928.7492772952784,42816.1664126612,45508.71458746864
2024-01-01,P006,Apparel,W02,South,S02,China,4,49,49,113,3,Delayed,808.6382379164685,955.3709554432363,91376.12088456094,46813.17681671858
2024-01-01,P006,Apparel,W03,East,S02,China,4,48,50,72,10,On-Time,569.5055329262677,695.7037079827518,41004.39837069128,34785.18539913759
2024-01-01,P006,Apparel,W04,West,S02,China,4,46,37,102,8,On-Time,1597.7726490403923,1924.2954560074393,162972.81020212002,71198.93187227525
2024-01-01,P006,Apparel,W05,Central,S02,China,4,50,44,2,4,On-Time,1360.817458614604,1841.3377383683724,2721.634917229208,81018.86048820839
2024-01-01,P007,Food,W01,North,S03,Germany,1,46,39,64,14,On-Time,1407.6228030904254,2071.376364147203,90087.85939778722,80783.67820174091
2024-01-01,P007,Food,W02,South,S03,Germany,1,41,47,14,8,On-Time,1079.8804838823976,1415.8341292363646,15118.326774353565,66544.20407410913
2024-01-01,P007,Food,W03,East,S03,Germany,1,52,41,14,11,On-Time,1808.743190961413,2688.756574228997,25322.40467345978,110239.01954338889
2024-01-01,P007,Food,W04,West,S03,Germany,1,50,46,26,2,On-Time,1012.6099328356315,1381.7697263632017,26327.85825372642,63561.40741270728
2024-01-01,P007,Food,W05,Central,S03,Germany,1,52,41,49,14,On-Time,1971.6832280771034,2890.8285357705745,96612.47817577807,118523.96996659355
2024-01-02,P001,Electronics,W01,North,S01,USA,7,57,40,134,9,On-Time,1658.1719144452172,2384.874428834856,222195.0365356591,95394.97715339425
2024-01-02,P001,Electronics,W02,South,S01,USA,7,50,43,19,2,On-Time,354.05655263827043,443.3519011355931,6727.074500127138,19064.131748830503
2024-01-02,P001,Electronics,W03,East,S01,USA,7,61,47,115,6,On-Time,1377.9614009457066,1940.8660286241275,158465.56110875626,91220.703345334
2024-01-02,P001,Electronics,W04,West,S01,USA,7,53,45,15,11,Delayed,1919.9684675252645,2599.966529165406,28799.527012878967,116998.49381244327
2024-01-02,P001,Electronics,W05,Central,S01,USA,7,49,52,92,5,On-Time,1175.4922903688605,1617.534977662986,108145.29071393516,84111.81883847527
2024-01-02,P002,Apparel,W01,North,S02,China,4,64,47,32,14,On-Time,1508.7477592476046,1990.7583578100462,48279.928295923346,93565.64281707216
2024-01-02,P002,Apparel,W02,South,S02,China,4,39,41,125,12,On-Time,1249.1119025344108,1834.136120693608,156138.98781680135,75199.58094843793
2024-01-02,P002,Apparel,W03,East,S02,China,4,59,49,12,12,On-Time,1697.245025011091,2243.0537474669745,20366.940300133094,109909.63362588175
